17700004012603522-201G6433997B,,,R70,,R2,,C158,,R69,,R3,,IC8,,IC3,,D11,,L5,,C150,,C100,
17700002522603522-204G6433997B,2020/07/20 12:37:47,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002532603522-201G6433997B,2020/07/20 12:39:36,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002542603522-202G6433997B,2020/07/20 12:39:36,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002552603522-203G6433997B,2020/07/20 12:39:36,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002562603522-204G6433997B,2020/07/20 12:39:36,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002572603522-201G6433997B,2020/07/20 12:40:47,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002582603522-202G6433997B,2020/07/20 12:40:47,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002592603522-203G6433997B,2020/07/20 12:40:47,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002602603522-204G6433997B,2020/07/20 12:40:47,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002612603522-201G6433997B,2020/07/20 12:41:26,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002622603522-202G6433997B,2020/07/20 12:41:26,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002632603522-203G6433997B,2020/07/20 12:41:26,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002642603522-204G6433997B,2020/07/20 12:41:26,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002652603522-201G6433997B,2020/07/20 12:42:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002662603522-202G6433997B,2020/07/20 12:42:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002672603522-203G6433997B,2020/07/20 12:42:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002682603522-204G6433997B,2020/07/20 12:42:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002692603522-201G6433997B,2020/07/20 12:43:19,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002702603522-202G6433997B,2020/07/20 12:43:19,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002712603522-203G6433997B,2020/07/20 12:43:19,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002722603522-204G6433997B,2020/07/20 12:43:19,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002732603522-201G6433997B,2020/07/20 12:43:59,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002742603522-202G6433997B,2020/07/20 12:43:59,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002752603522-203G6433997B,2020/07/20 12:43:59,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002762603522-204G6433997B,2020/07/20 12:43:59,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002772603522-201G6433997B,2020/07/20 12:44:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002782603522-202G6433997B,2020/07/20 12:44:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002792603522-203G6433997B,2020/07/20 12:44:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002802603522-204G6433997B,2020/07/20 12:44:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002812603522-201G6433997B,2020/07/20 12:46:22,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002822603522-202G6433997B,2020/07/20 12:46:22,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002832603522-203G6433997B,2020/07/20 12:46:22,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002842603522-204G6433997B,2020/07/20 12:46:22,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002852603522-201G6433997B,2020/07/20 12:46:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002862603522-202G6433997B,2020/07/20 12:46:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002872603522-203G6433997B,2020/07/20 12:46:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002882603522-204G6433997B,2020/07/20 12:46:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002892603522-201G6433997B,2020/07/20 12:48:22,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002902603522-202G6433997B,2020/07/20 12:48:22,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002912603522-203G6433997B,2020/07/20 12:48:22,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002922603522-204G6433997B,2020/07/20 12:48:22,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002932603522-201G6433997B,2020/07/20 12:49:34,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002942603522-202G6433997B,2020/07/20 12:49:34,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002952603522-203G6433997B,2020/07/20 12:49:34,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002962603522-204G6433997B,2020/07/20 12:49:34,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002972603522-201G6433997B,2020/07/20 12:50:05,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002982603522-202G6433997B,2020/07/20 12:50:05,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700002992603522-203G6433997B,2020/07/20 12:50:05,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003002603522-204G6433997B,2020/07/20 12:50:05,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003012603522-201G6433997B,2020/07/20 12:51:17,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003022603522-202G6433997B,2020/07/20 12:51:17,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003032603522-203G6433997B,2020/07/20 12:51:17,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003042603522-204G6433997B,2020/07/20 12:51:17,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003052603522-201G6433997B,2020/07/20 12:52:00,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003062603522-202G6433997B,2020/07/20 12:52:00,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003072603522-203G6433997B,2020/07/20 12:52:00,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003082603522-204G6433997B,2020/07/20 12:52:00,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003092603522-201G6433997B,2020/07/20 12:52:31,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003102603522-202G6433997B,2020/07/20 12:52:31,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003112603522-203G6433997B,2020/07/20 12:52:31,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003122603522-204G6433997B,2020/07/20 12:52:31,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003132603522-201G6433997B,2020/07/20 12:53:43,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003142603522-202G6433997B,2020/07/20 12:53:43,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003152603522-203G6433997B,2020/07/20 12:53:43,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003162603522-204G6433997B,2020/07/20 12:53:43,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003172603522-201G6433997B,2020/07/20 12:54:14,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003182603522-202G6433997B,2020/07/20 12:54:14,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003192603522-203G6433997B,2020/07/20 12:54:14,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003202603522-204G6433997B,2020/07/20 12:54:14,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003212603522-201G6433997B,2020/07/20 12:55:26,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003222603522-202G6433997B,2020/07/20 12:55:26,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003232603522-203G6433997B,2020/07/20 12:55:26,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003242603522-204G6433997B,2020/07/20 12:55:26,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003252603522-201G6433997B,2020/07/20 12:56:11,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003262603522-202G6433997B,2020/07/20 12:56:11,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003272603522-203G6433997B,2020/07/20 12:56:11,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003282603522-204G6433997B,2020/07/20 12:56:11,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003292603522-201G6433997B,2020/07/20 12:56:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003302603522-202G6433997B,2020/07/20 12:56:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003312603522-203G6433997B,2020/07/20 12:56:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700003322603522-204G6433997B,2020/07/20 12:56:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
